"","id","state","district","village","year","roadPaved","distanceToPavedRoad","roadMonsoonUsability","yearsWithPavedRoad","ImmunizationCampaignsNumber","distanceToNearestTown","distanceToNearestDistrictHQ","area","populationCategories","householdNumbersOf","mbCataract","mbTuberculosis","mbHighBP","mbHeartDisease","mbDiabetes","mbLeprosy","mbCancer","mbAsthma","mbPolio","mbParalysis","mbEpilepsy","mbMentalIllness","mbSTDorAIDS","mbOtherLongTerm","mbDaysIncapacitated","mbTreatmentRecieved","mbDaysHospitalized","mbCostOfTreatment","mbCostIncludesMedication","mbCostOfMeds","mbTravelExpenses","smokeTobacco","chewTobacco","drinkAlcohol","attendedSchool","gradeCompleted","readingScore","mathScore","writingScore","urban","income","yearsLivingHere","ownToilet","electricity","electricityHours","healthSubCenter","primaryHealthCenter","communityHealthCenter","districtHospital","govtMaternityCenter","pvtClinicTrainedDoc","pvtClinicUntrainedDoc","pvtHospital","pvtPharm","otherGovtMedFacility","distHealthSubCenter","distPrimaryHealthCenter","distCommunityHealthCenter","distDistrictHospital","distGovtMaternityCenter","distPvtClinicTrainedDoc","distPvtClinicUntrainedDoc","distPvtHospital","distPvtPharm","distOtherGovtMedFacility","caste.Brahmin","caste.OBC","caste.SC","caste.ST","caste.Other","drinkingWaterSource.Piped","drinkingWaterSource.TubeWell","drinkingWaterSource.HandPump","drinkingWaterSource.OpenWell","drinkingWaterSource.CoveredWell","drinkingWaterSource.River","drinkingWaterSource.Pond","drinkingWaterSource.Truck","drinkingWaterSource.RainWater","drinkingWaterSource.Bottled","drinkingWaterSource.Other","drinkingWaterSource.NA","mbTreatmentWho1.NA","mbTreatmentWho1.PublicDoc","mbTreatmentWho1.PublicDocInPvt","mbTreatmentWho1.PvtDoc","mbTreatmentWho1.Pharm","mbTreatmentWho1.OtherOrTraditional","mbTreatmentWhere1.NA","mbTreatmentWhere1.SameVillage","mbTreatmentWhere1.AnotherVillage","mbTreatmentWhere1.OtherTown","mbTreatmentWhere1.DistrictTown","mbTreatmentWho2.NA","mbTreatmentWho2.PublicDoc","mbTreatmentWho2.PublicDocInPvt","mbTreatmentWho2.PvtDoc","mbTreatmentWho2.Pharm","mbTreatmentWho2.OtherOrTraditional","mbTreatmentWhere2.NA","mbTreatmentWhere2.SameVillage","mbTreatmentWhere2.AnotherVillage","mbTreatmentWhere2.OtherTown","mbTreatmentWhere2.DistrictTown"
"1954","23.35.7",23,35,7,2012,1,0,1,47,2,20,76,"","","",0,0,0.0229885057471264,0,0,0,0,0,0,0,0,0,0,0.0689655172413793,0,0.0344827586206897,0,37.9310344827586,0.0114942528735632,37.3563218390805,5.05747126436782,1.40909090909091,3.59090909090909,1.27272727272727,1,4.14285714285714,2.57142857142857,1.33333333333333,1,0,31578.3333333333,86.2777777777778,1.22222222222222,0.944444444444444,8.76470588235294,0,0,0,0,0,0,2,0,0,0,5,8,8,70,20,20,NA,20,5,20,0,0.944444444444444,0.0555555555555556,0,0,0.666666666666667,0.111111111111111,0.0555555555555556,0.166666666666667,0,0,0,0,0,0,0,0,0.96551724137931,0.0114942528735632,0,0.0229885057471264,0,0,0.96551724137931,0.0114942528735632,0,0.0229885057471264,0,0.988505747126437,0,0,0,0.0114942528735632,0,0.988505747126437,0,0,0.0114942528735632,0
"1955","23.35.8",23,35,8,2012,1,0,1,4,4,5,33,"","","",0,0,0.0425531914893617,0.0425531914893617,0,0,0,0,0,0,0,0,0,0.0851063829787234,7.4468085106383,0.0851063829787234,0.468085106382979,7376.59574468085,0,1351.06382978723,115.31914893617,1.88888888888889,3.22222222222222,1.44444444444444,1,4.4,2.5,1.5,1,0,115679.142857143,85,1.78571428571429,1,19.9285714285714,0,0,0,0,0,1,1,0,0,0,9,7,7,35,9,NA,NA,11,7,10,0,0.571428571428571,0.285714285714286,0.0714285714285714,0.0714285714285714,0.5,0,0.0714285714285714,0.428571428571429,0,0,0,0,0,0,0,0,0.914893617021277,0.0212765957446809,0,0.0638297872340425,0,0,0.914893617021277,0.0638297872340425,0,0.0212765957446809,0,0.978723404255319,0,0,0,0.0212765957446809,0,0.978723404255319,0.0212765957446809,0,0,0
"1956","23.35.9",23,35,9,2012,1,0,1,8,2,25,75,"","","",0.0373831775700935,0,0.0186915887850467,0.0747663551401869,0,0,0,0.0560747663551402,0,0.0560747663551402,0.0186915887850467,0,0,0.0747663551401869,9.53271028037383,0.130841121495327,0.102803738317757,842.990654205607,0.0467289719626168,352.429906542056,64.4859813084112,1.25925925925926,3.77777777777778,1.14814814814815,1,4.75,3.75,2,1.75,0,63139.6363636364,90,1.5,1,13.9090909090909,1,0,1,0,0,2,2,0,0,0,NA,9,NA,75,35,NA,NA,35,10,10,0,1,0,0,0,0.227272727272727,0,0.136363636363636,0.636363636363636,0,0,0,0,0,0,0,0,0.869158878504673,0.00934579439252336,0,0.121495327102804,0,0,0.869158878504673,0.0747663551401869,0.0467289719626168,0,0.00934579439252336,0.990654205607477,0,0,0.00934579439252336,0,0,0.990654205607477,0,0,0.00934579439252336,0
"1957","23.36.1",23,36,1,2012,1,0,0,2,3,11,11,"","","",0.0363636363636364,0.0121212121212121,0.121212121212121,0.0242424242424242,0.0606060606060606,0,0,0.0242424242424242,0,0.0121212121212121,0.0121212121212121,0.0242424242424242,0,0.157575757575758,7.53939393939394,0.181818181818182,0.218181818181818,2073.93939393939,0.145454545454545,151.515151515152,78.1818181818182,2.5,3,1.25,1,3.66666666666667,2.77777777777778,1.77777777777778,1.22222222222222,0,290426.147058824,87.9411764705882,1.91176470588235,1,8.05882352941176,1,0,0,0,1,0,0,0,0,0,NA,20,20,11,NA,11,11,11,11,11,0,0.764705882352941,0.0588235294117647,0.0588235294117647,0.117647058823529,0,0,0.794117647058823,0.205882352941176,0,0,0,0,0,0,0,0,0.818181818181818,0.00606060606060606,0,0.175757575757576,0,0,0.818181818181818,0.0242424242424242,0,0.0363636363636364,0.121212121212121,0.975757575757576,0,0,0.0242424242424242,0,0,0.975757575757576,0,0,0.0121212121212121,0.0121212121212121
"1958","23.36.2",23,36,2,2012,1,0,0,6,4,11,11,"","","",0.0263157894736842,0,0.157894736842105,0.0263157894736842,0.0263157894736842,0,0,0.0526315789473684,0,0.00657894736842105,0,0,0,0.210526315789474,11.0526315789474,0.210526315789474,0.171052631578947,13.1578947368421,0.0197368421052632,914.605263157895,36.3815789473684,2.33333333333333,3.33333333333333,1.29166666666667,1,3.72727272727273,2.45454545454545,1.27272727272727,0.636363636363636,0,57753.0303030303,79.5454545454545,2.03030303030303,0.939393939393939,11.741935483871,0,0,0,0,0,1,0,0,0,0,5,11,11,11,6,NA,6,11,6,11,0.0303030303030303,0.636363636363636,0.242424242424242,0.0909090909090909,0,0,0.121212121212121,0.787878787878788,0.0909090909090909,0,0,0,0,0,0,0,0,0.789473684210526,0.00657894736842105,0,0.203947368421053,0,0,0.789473684210526,0.0460526315789474,0.0197368421052632,0.0263157894736842,0.118421052631579,0.921052631578947,0.0131578947368421,0,0.0526315789473684,0.0131578947368421,0,0.921052631578947,0.0131578947368421,0.0263157894736842,0.0131578947368421,0.0263157894736842
"1959","23.36.3",23,36,3,2012,0,2,0,NA,2,5,26,"","","",0,0,0.111111111111111,0.0222222222222222,0.0222222222222222,0,0,0,0.0222222222222222,0,0,0.0666666666666667,0,0.177777777777778,9.17777777777778,0.177777777777778,0.0666666666666667,862.277777777778,0.0777777777777778,735.111111111111,27.5555555555556,2.48387096774194,3.29032258064516,1.32258064516129,1,4,3,2,1.5,0,72690.2380952381,78.0952380952381,1.23809523809524,1,9.95238095238095,0,0,0,0,0,0,0,0,0,0,3,2,2,23,15,6,5,5,5,5,0.0476190476190476,0.428571428571429,0.19047619047619,0.238095238095238,0.0952380952380952,0,0.0952380952380952,0.666666666666667,0.238095238095238,0,0,0,0,0,0,0,0,0.833333333333333,0.0111111111111111,0,0.144444444444444,0,0.0111111111111111,0.833333333333333,0.0111111111111111,0.0222222222222222,0.0777777777777778,0.0555555555555556,0.988888888888889,0,0,0.0111111111111111,0,0,0.988888888888889,0,0,0,0.0111111111111111
"1960","23.37.1",23,37,1,2012,1,0,0,30,2,20,43,"","","",0,0.0222222222222222,0.0444444444444444,0,0,0,0,0.0666666666666667,0,0,0,0.0444444444444444,0,0.177777777777778,5.7,0.155555555555556,0.122222222222222,1045.55555555556,0.144444444444444,0,101.777777777778,1.51428571428571,3.88571428571429,1,0.666666666666667,5.5,1.5,0.5,0.5,0,78876.0869565217,90,1.04347826086957,0.91304347826087,6.19047619047619,0,0,0,0,0,0,1,0,0,0,3,3,13,43,13,13,NA,13,13,13,0.0869565217391304,0.869565217391304,0,0,0.0434782608695652,0,0,0.91304347826087,0.0869565217391304,0,0,0,0,0,0,0,0,0.844444444444444,0.0111111111111111,0,0.144444444444444,0,0,0.844444444444444,0,0.0333333333333333,0.0666666666666667,0.0555555555555556,0.988888888888889,0,0,0.0111111111111111,0,0,0.988888888888889,0,0,0.0111111111111111,0
"1961","23.37.2",23,37,2,2012,1,0,1,70,4,33,40,"","","",0.0337837837837838,0,0.0202702702702703,0.0202702702702703,0.00675675675675676,0,0,0.0405405405405405,0,0.027027027027027,0.0135135135135135,0,0,0.0675675675675676,2.99324324324324,0.101351351351351,0.25,19.5945945945946,0.0135135135135135,774.858108108108,119.594594594595,2.08333333333333,3.25,1.41666666666667,0.916666666666667,4.27272727272727,2.72727272727273,1.63636363636364,1.36363636363636,0,137288.333333333,60.3,2.2,1,10.2666666666667,0,1,0,0,0,1,10,2,5,0,11,NA,11,40,40,NA,NA,NA,NA,40,0.0333333333333333,0.433333333333333,0.2,0.1,0.233333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0.905405405405405,0.0337837837837838,0.00675675675675676,0.0337837837837838,0,0.0202702702702703,0.905405405405405,0.00675675675675676,0.0202702702702703,0.0472972972972973,0.0202702702702703,0.952702702702703,0,0,0.0337837837837838,0.0135135135135135,0,0.952702702702703,0.027027027027027,0.00675675675675676,0.00675675675675676,0.00675675675675676
"1962","23.37.3",23,37,3,2012,1,0,1,11,3,6,50,"","","",0.0211267605633803,0,0.0985915492957746,0,0.0140845070422535,0.00704225352112676,0,0.028169014084507,0,0,0,0,0,0.211267605633803,1.06338028169014,0.140845070422535,0.0563380281690141,0,0,672.535211267606,54.5422535211268,3.30434782608696,2.56521739130435,1.30434782608696,1,4.41666666666667,2.75,1.66666666666667,1.16666666666667,0,90049.5384615385,87.9230769230769,1.96153846153846,0.923076923076923,8.875,0,0,0,0,0,0,0,0,0,0,4,6,6,50,6,6,6,6,6,6,0.0384615384615385,0.846153846153846,0.0384615384615385,0,0.0769230769230769,0,0,0.653846153846154,0.346153846153846,0,0,0,0,0,0,0,0,0.859154929577465,0,0,0.140845070422535,0,0,0.859154929577465,0.0211267605633803,0.0352112676056338,0.0563380281690141,0.028169014084507,0.97887323943662,0,0,0.0211267605633803,0,0,0.97887323943662,0,0.00704225352112676,0.00704225352112676,0.00704225352112676
"1963","23.37.5",23,37,5,2012,1,0,0,6,4,20,92,"","","",0.031496062992126,0.031496062992126,0.031496062992126,0,0,0,0,0,0,0.015748031496063,0,0.015748031496063,0,0.078740157480315,6.8503937007874,0.094488188976378,0.0236220472440945,1031.49606299213,0.078740157480315,0,46.0629921259843,1.6530612244898,3.3265306122449,1.04081632653061,1,4.66666666666667,3.5,2,1.66666666666667,0,121607.346153846,90,1.26923076923077,1,9.32,0,0,0,0,0,0,1,0,0,0,2,8,20,92,9,1,NA,20,10,10,0,0.5,0.153846153846154,0.0769230769230769,0.269230769230769,0,0,1,0,0,0,0,0,0,0,0,0,0.905511811023622,0.015748031496063,0,0.078740157480315,0,0,0.905511811023622,0.015748031496063,0.0078740157480315,0.047244094488189,0.0236220472440945,0.984251968503937,0,0,0.015748031496063,0,0,0.984251968503937,0,0,0.015748031496063,0
