"","id","state","district","village","year","roadPaved","distanceToPavedRoad","roadMonsoonUsability","yearsWithPavedRoad","lnDistanceToPavedRoad","ImmunizationCampaignsNumber","distanceToNearestTown","distanceToNearestDistrictHQ","area","populationCategories","householdNumbersOf","mbCataract","mbTuberculosis","mbHighBP","mbHeartDisease","mbDiabetes","mbLeprosy","mbCancer","mbAsthma","mbPolio","mbParalysis","mbEpilepsy","mbMentalIllness","mbSTDorAIDS","mbOtherLongTerm","mbDaysIncapacitated","mbTreatmentRecieved","mbDaysHospitalized","mbCostOfTreatment","mbCostIncludesMedication","mbCostOfMeds","mbTravelExpenses","mbAnyDisease","mbComDisease","mbNonComDisease","smokeTobacco","chewTobacco","drinkAlcohol","illiterate","attendedSchool","urban","income","yearsLivingHere","ownToilet","electricity","electricityHours","seenDoctor","healthSubCenter","primaryHealthCenter","communityHealthCenter","govtMaternityCenter","pvtClinicTrainedDoc","pvtClinicUntrainedDoc","pvtHospital","pvtPharm","otherGovtMedFacility","distHealthSubCenter","distPrimaryHealthCenter","distCommunityHealthCenter","distDistrictHospital","distGovtMaternityCenter","distPvtClinicTrainedDoc","distPvtClinicUntrainedDoc","distPvtHospital","distPvtPharm","distOtherGovtMedFacility","caste.Brahmin","caste.OBC","caste.SC","caste.ST","caste.Other","drinkingWaterSource.Piped","drinkingWaterSource.TubeWell","drinkingWaterSource.HandPump","drinkingWaterSource.OpenWell","drinkingWaterSource.CoveredWell","drinkingWaterSource.River","drinkingWaterSource.Pond","drinkingWaterSource.Truck","drinkingWaterSource.RainWater","drinkingWaterSource.Bottled","drinkingWaterSource.Other","drinkingWaterSource.NA","mbTreatmentWho1.NA","mbTreatmentWho1.PublicDoc","mbTreatmentWho1.PublicDocInPvt","mbTreatmentWho1.PvtDoc","mbTreatmentWho1.Pharm","mbTreatmentWho1.OtherOrTraditional","mbTreatmentWhere1.NA","mbTreatmentWhere1.SameVillage","mbTreatmentWhere1.AnotherVillage","mbTreatmentWhere1.OtherTown","mbTreatmentWhere1.DistrictTown","mbTreatmentWho2.NA","mbTreatmentWho2.PublicDoc","mbTreatmentWho2.PublicDocInPvt","mbTreatmentWho2.PvtDoc","mbTreatmentWho2.Pharm","mbTreatmentWho2.OtherOrTraditional","mbTreatmentWhere2.NA","mbTreatmentWhere2.SameVillage","mbTreatmentWhere2.AnotherVillage","mbTreatmentWhere2.OtherTown","mbTreatmentWhere2.DistrictTown"
"790","29.15.4",29,15,4,2012,1,0,1,3,0,2,24,48,"","","",3.125,1.04166666666667,3.125,0,2.08333333333333,0,0,1.04166666666667,0,2.08333333333333,0,0,0,4.16666666666667,6.64583333333333,0.15625,0.8125,749.791666666667,10.4166666666667,608.333333333333,76.0416666666667,4.16666666666667,1.04166666666667,0,1.64285714285714,3.25,1.67857142857143,0.65625,0.677083333333333,0,129871.608695652,73.4782608695652,56.5217391304348,86.9565217391304,15.3,0.956521739130435,0,0,0,0,0,3,0,0,0,2,7,7,48,24,6,NA,24,6,7,4.34782608695652,73.9130434782609,8.69565217391304,13.0434782608696,0,91.304347826087,4.34782608695652,0,0,0,0,0,0,0,0,0,4.34782608695652,84.375,4.16666666666667,4.16666666666667,7.29166666666667,0,0,84.375,1.04166666666667,2.08333333333333,5.20833333333333,7.29166666666667,97.9166666666667,1.04166666666667,1.04166666666667,0,0,0,97.9166666666667,0,0,0,2.08333333333333
"791","29.15.5",29,15,5,2012,1,0,1,2,0,2,17,107,"","","",0,0,2,4,2,0,2,0,0,0,2,0,0,4,0.12,0.14,1.1,866.4,12,10,44.4,4,0,0,1.81818181818182,3,1.36363636363636,0.74,0.76,0,54446.3636363636,90,18.1818181818182,90.9090909090909,16.4,1,0,0,0,0,0,0,0,0,0,3,5,17,107,17,17,10,17,17,17,0,54.5454545454545,9.09090909090909,36.3636363636364,0,36.3636363636364,27.2727272727273,0,36.3636363636364,0,0,0,0,0,0,0,0,86,6,6,2,0,0,86,0,0,12,2,98,2,0,0,0,0,98,0,0,2,0
"792","29.15.6",29,15,6,2012,1,0,1,10,0,2,6,35,"","","",3.79746835443038,0,6.32911392405063,2.53164556962025,2.53164556962025,0,0,0,0,0,1.26582278481013,1.26582278481013,0,1.26582278481013,5.43037974683544,0.164556962025316,1.92405063291139,676.20253164557,10.126582278481,861.772151898734,108.481012658228,1.26582278481013,0,1.26582278481013,1.66666666666667,2.94444444444444,1.44444444444444,0.79746835443038,0.79746835443038,0,126152.75,62.9,60,100,18.2,1,1,0,0,0,0,0,0,0,0,NA,6,6,35,6,6,35,35,6,6,5,45,30,10,10,80,5,0,15,0,0,0,0,0,0,0,0,83.5443037974684,5.06329113924051,5.06329113924051,6.32911392405063,0,0,83.5443037974684,1.26582278481013,2.53164556962025,7.59493670886076,5.06329113924051,96.2025316455696,1.26582278481013,2.53164556962025,0,0,0,96.2025316455696,0,0,2.53164556962025,1.26582278481013
"793","29.15.7",29,15,7,2012,0,3,1,NA,1.09861228866811,NA,14,85,"","","",3.27868852459016,0,11.4754098360656,0,9.83606557377049,0,0,1.63934426229508,0,1.63934426229508,0,1.63934426229508,0,3.27868852459016,0.131147540983607,0.163934426229508,1.29508196721311,4352.45901639344,16.3934426229508,263.934426229508,82.7868852459016,3.27868852459016,0,1.63934426229508,1.2,3.36,1.28,0.80327868852459,0.786885245901639,0,100103.75,90,68.75,100,15.0625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.75,43.75,25,6.25,6.25,0,0,0,100,0,0,0,0,0,0,0,0,83.6065573770492,3.27868852459016,3.27868852459016,9.83606557377049,0,0,83.6065573770492,0,0,14.7540983606557,1.63934426229508,90.1639344262295,3.27868852459016,1.63934426229508,4.91803278688525,0,0,90.1639344262295,0,0,8.19672131147541,1.63934426229508
"794","29.16.1",29,16,1,2012,1,0,1,20,0,1,15,36,"","","",0,0.840336134453782,5.88235294117647,0,2.52100840336134,0,0,0,0,0,0,0.840336134453782,0,4.20168067226891,3.15126050420168,0.126050420168067,1.92436974789916,1275.46218487395,2.52100840336134,392.436974789916,157.100840336134,4.20168067226891,0.840336134453782,0.840336134453782,2.45,1.95,2.4,0.747899159663866,0.840336134453782,0,206200.333333333,77.2857142857143,100,100,13.2380952380952,0.952380952380952,1,0,0,0,1,0,0,0,0,NA,6,12,36,15,NA,6,6,6,6,0,66.6666666666667,23.8095238095238,0,9.52380952380952,19.047619047619,33.3333333333333,4.76190476190476,38.0952380952381,4.76190476190476,0,0,0,0,0,0,0,87.3949579831933,2.52100840336134,0,9.2436974789916,0.840336134453782,0,87.3949579831933,1.68067226890756,1.68067226890756,9.2436974789916,0,94.1176470588235,1.68067226890756,0,4.20168067226891,0,0,94.1176470588235,0.840336134453782,0,5.04201680672269,0
"795","29.16.2",29,16,2,2012,0,7,0,NA,1.94591014905531,2,17,17,"","","",0,0,0,2.1978021978022,3.2967032967033,0,0,2.1978021978022,0,0,0,0,0,1.0989010989011,4.56043956043956,0.0769230769230769,1.42857142857143,4604.3956043956,7.69230769230769,0,0,1.0989010989011,0,0,2.28571428571429,3.14285714285714,1.28571428571429,0.835164835164835,0.835164835164835,0,150202.631578947,87.8947368421053,94.7368421052632,100,8.26315789473684,1,0,0,0,0,1,0,0,0,0,3,8,8,17,17,NA,NA,17,8,8,0,78.9473684210526,15.7894736842105,0,5.26315789473684,57.8947368421053,5.26315789473684,0,36.8421052631579,0,0,0,0,0,0,0,0,92.3076923076923,5.49450549450549,0,2.1978021978022,0,0,92.3076923076923,4.3956043956044,0,3.2967032967033,0,92.3076923076923,1.0989010989011,0,6.59340659340659,0,0,92.3076923076923,1.0989010989011,0,6.59340659340659,0
"796","29.16.3",29,16,3,2012,1,0,1,5,0,1,12,45,"","","",4.34782608695652,0,4.34782608695652,1.73913043478261,1.73913043478261,0,0,0.869565217391304,0,0,0,1.73913043478261,0,2.60869565217391,2.55652173913043,0.104347826086957,1.04347826086957,1331.21739130435,5.21739130434783,656.95652173913,160,2.60869565217391,0,1.73913043478261,1.52380952380952,3.04761904761905,1.95238095238095,0.695652173913043,0.721739130434783,0,92119.1052631579,90,94.7368421052632,94.7368421052632,12.8235294117647,0.947368421052632,1,0,0,0,0,0,0,0,0,NA,6,8,36,5,3,3,15,15,6,10.5263157894737,68.4210526315789,5.26315789473684,0,15.7894736842105,0,10.5263157894737,0,89.4736842105263,0,0,0,0,0,0,0,0,89.5652173913044,6.08695652173913,0,4.34782608695652,0,0,89.5652173913044,0.869565217391304,4.34782608695652,5.21739130434783,0,92.1739130434783,0.869565217391304,0,6.95652173913043,0,0,92.1739130434783,0,0,7.82608695652174,0
"797","29.16.4",29,16,4,2012,1,0,1,4,0,2,10,36,"","","",1.08695652173913,1.08695652173913,2.17391304347826,0,1.08695652173913,0,1.08695652173913,0,0,0,0,0,0,6.52173913043478,5.47826086956522,0.0978260869565217,1.22826086956522,2510.86956521739,3.26086956521739,1217.39130434783,144.565217391304,6.52173913043478,1.08695652173913,0,1.53333333333333,2.93333333333333,1.86666666666667,0.771739130434783,0.793478260869565,0,91231.2777777778,67.1176470588235,66.6666666666667,100,9.44444444444444,1,1,0,0,0,0,0,0,0,0,NA,5,16,36,8,4,4,4,4,12,11.1111111111111,44.4444444444444,33.3333333333333,0,11.1111111111111,61.1111111111111,11.1111111111111,0,27.7777777777778,0,0,0,0,0,0,0,0,90.2173913043478,3.26086956521739,0,6.52173913043478,0,0,90.2173913043478,0,1.08695652173913,8.69565217391304,0,93.4782608695652,0,0,6.52173913043478,0,0,93.4782608695652,0,0,5.43478260869565,1.08695652173913
"798","29.17.1",29,17,1,2012,1,0,1,1,0,2,8,33,"","","",1.03092783505155,0,2.06185567010309,1.03092783505155,0,0,0,0,0,0,0,0,0,0,0.309278350515464,0.0412371134020619,0.123711340206186,494.845360824742,3.09278350515464,20.6185567010309,28.4536082474227,0,0,0,2.65217391304348,2.65217391304348,1.82608695652174,0.731958762886598,0.752577319587629,0,118492.875,90,66.6666666666667,100,12,0.958333333333333,0,0,0,0,0,1,0,0,0,2,4,7,33,33,7,NA,7,7,7,0,66.6666666666667,20.8333333333333,8.33333333333333,4.16666666666667,95.8333333333333,0,0,0,0,0,0,4.16666666666667,0,0,0,0,95.8762886597938,1.03092783505155,1.03092783505155,2.06185567010309,0,0,95.8762886597938,0,0,3.09278350515464,1.03092783505155,100,0,0,0,0,0,98.9690721649485,0,0,1.03092783505155,0
"799","29.17.2",29,17,2,2012,0,30,1,NA,3.40119738166216,2,30,72,"","","",3.44827586206897,0,2.29885057471264,1.14942528735632,0,0,0,0,0,0,0,0,0,3.44827586206897,4.42528735632184,0.114942528735632,0.827586206896552,1447.35632183908,4.59770114942529,717.425287356322,746.620689655172,3.44827586206897,0,0,2.22727272727273,3.22727272727273,2.27272727272727,0.620689655172414,0.632183908045977,0,97085.0476190476,88.0952380952381,19.047619047619,90.4761904761905,14.2631578947368,0.952380952380952,1,0,0,0,0,0,0,0,0,NA,6,3,70,6,6,6,6,6,6,0,80.9523809523809,9.52380952380952,9.52380952380952,0,95.2380952380952,0,4.76190476190476,0,0,0,0,0,0,0,0,0,88.5057471264368,9.19540229885057,0,2.29885057471264,0,0,88.5057471264368,2.29885057471264,0,9.19540229885057,0,97.7011494252874,2.29885057471264,0,0,0,0,97.7011494252874,0,0,2.29885057471264,0
