"","id","state","district","village","year","roadPaved","distanceToPavedRoad","roadMonsoonUsability","yearsWithPavedRoad","lnDistanceToPavedRoad","ImmunizationCampaignsNumber","distanceToNearestTown","distanceToNearestDistrictHQ","area","populationCategories","householdNumbersOf","mbCataract","mbTuberculosis","mbHighBP","mbHeartDisease","mbDiabetes","mbLeprosy","mbCancer","mbAsthma","mbPolio","mbParalysis","mbEpilepsy","mbMentalIllness","mbSTDorAIDS","mbOtherLongTerm","mbDaysIncapacitated","mbTreatmentRecieved","mbDaysHospitalized","mbCostOfTreatment","mbCostIncludesMedication","mbCostOfMeds","mbTravelExpenses","mbAnyDisease","mbComDisease","mbNonComDisease","smokeTobacco","chewTobacco","drinkAlcohol","illiterate","attendedSchool","urban","income","yearsLivingHere","ownToilet","electricity","electricityHours","healthSubCenter","primaryHealthCenter","communityHealthCenter","districtHospital","govtMaternityCenter","pvtClinicTrainedDoc","pvtClinicUntrainedDoc","pvtHospital","pvtPharm","otherGovtMedFacility","distHealthSubCenter","distPrimaryHealthCenter","distCommunityHealthCenter","distDistrictHospital","distGovtMaternityCenter","distPvtClinicTrainedDoc","distPvtClinicUntrainedDoc","distPvtHospital","distPvtPharm","distOtherGovtMedFacility","caste.Brahmin","caste.OBC","caste.SC","caste.ST","caste.Other","drinkingWaterSource.Piped","drinkingWaterSource.TubeWell","drinkingWaterSource.HandPump","drinkingWaterSource.OpenWell","drinkingWaterSource.CoveredWell","drinkingWaterSource.River","drinkingWaterSource.Pond","drinkingWaterSource.Truck","drinkingWaterSource.RainWater","drinkingWaterSource.Bottled","drinkingWaterSource.Other","drinkingWaterSource.NA","mbTreatmentWho1.NA","mbTreatmentWho1.PublicDoc","mbTreatmentWho1.PublicDocInPvt","mbTreatmentWho1.PvtDoc","mbTreatmentWho1.Pharm","mbTreatmentWho1.OtherOrTraditional","mbTreatmentWhere1.NA","mbTreatmentWhere1.SameVillage","mbTreatmentWhere1.AnotherVillage","mbTreatmentWhere1.OtherTown","mbTreatmentWhere1.DistrictTown","mbTreatmentWho2.NA","mbTreatmentWho2.PublicDoc","mbTreatmentWho2.PublicDocInPvt","mbTreatmentWho2.PvtDoc","mbTreatmentWho2.Pharm","mbTreatmentWho2.OtherOrTraditional","mbTreatmentWhere2.NA","mbTreatmentWhere2.SameVillage","mbTreatmentWhere2.AnotherVillage","mbTreatmentWhere2.OtherTown","mbTreatmentWhere2.DistrictTown"
"579","24.4.6",24,4,6,2005,1,0,1,15,0,2,8,28,1152,2,603,3.94736842105263,3.94736842105263,0,5.26315789473684,2.63157894736842,0,0,6.57894736842105,0,0,2.63157894736842,0,0,1.31578947368421,2.63157894736842,0.131578947368421,0.0657894736842105,6.57894736842105,5.26315789473684,288.552631578947,18.4210526315789,1.31578947368421,2.63157894736842,0,0.857142857142857,1.25,0,0.671052631578947,0.710526315789474,0,56409.801,85.85,0.45,85,20.7058823529412,0,0,0,0,0,3,0,0,0,0,1,1,35,35,1,0,8,8,10,35,10,25,40,0,25,90,0,0,10,0,0,0,0,0,0,0,0,86.8421052631579,1.31578947368421,3.94736842105263,7.89473684210526,0,0,86.8421052631579,2.63157894736842,1.31578947368421,5.26315789473684,3.94736842105263,100,0,0,0,0,0,100,0,0,0,0
"580","24.4.7",24,4,7,2005,1,0,0,6,0,2,8,28,476,3,1377,9.19540229885057,2.29885057471264,0,0,0,0,0,1.14942528735632,0,0,0,1.14942528735632,0,3.44827586206897,2.64367816091954,0.0689655172413793,0.206896551724138,494.252873563218,3.44827586206897,143.67816091954,22.7011494252874,3.44827586206897,1.14942528735632,1.14942528735632,1.25,1.14285714285714,0.285714285714286,0.747126436781609,0.747126436781609,0,31475.213,81.45,0.65,100,20.65,0,1,0,0,1,0,4,0,1,0,-3,0,10,28,0,-3,0,28,0,-3,5,40,5,0,50,95,5,0,0,0,0,0,0,0,0,0,0,93.1034482758621,0,2.29885057471264,4.59770114942529,0,0,93.1034482758621,1.14942528735632,0,3.44827586206897,2.29885057471264,100,0,0,0,0,0,100,0,0,0,0
"581","24.6.1",24,6,1,2005,1,0,1,25,0,3,10,25,1172,3,1590,0,6.25,0,0,0,0,0,0,0,0,0,0,0,3.125,8.4375,0.0625,0.96875,62.5,6.25,375,78.125,3.125,3.125,0,1.25,0.75,0.5,0.625,0.65625,0,18437.9371428571,90,0,71.4285714285714,24,1,0,0,0,0,2,2,0,0,0,0,10,10,25,25,0,0,10,10,10,0,57.1428571428571,0,0,42.8571428571429,100,0,0,0,0,0,0,0,0,0,0,0,93.75,0,3.125,3.125,0,0,93.75,0,3.125,0,3.125,100,0,0,0,0,0,100,0,0,0,0
"582","24.6.2",24,6,2,2005,1,0,1,22,0,4,8,28,1285,2,826,9.30232558139535,0,2.32558139534884,2.32558139534884,0,0,0,0,0,2.32558139534884,2.32558139534884,2.32558139534884,0,0,13.1395348837209,0.116279069767442,0.348837209302326,106.976744186047,11.6279069767442,184.418604651163,18.6046511627907,0,0,2.32558139534884,0.666666666666667,1.33333333333333,0,0.720930232558139,0.790697674418605,0,33711.1933333333,90,0.777777777777778,100,23.5555555555556,1,0,0,0,0,1,2,0,0,0,0,6,8,28,28,0,0,8,8,28,0,44.4444444444444,0,0,55.5555555555556,100,0,0,0,0,0,0,0,0,0,0,0,88.3720930232558,2.32558139534884,2.32558139534884,4.65116279069767,2.32558139534884,0,88.3720930232558,6.97674418604651,2.32558139534884,0,2.32558139534884,95.3488372093023,0,0,2.32558139534884,2.32558139534884,0,95.3488372093023,0,2.32558139534884,0,2.32558139534884
"583","24.6.3",24,6,3,2005,1,0,1,16,0,4,8,42,1356,2,935,17.1052631578947,0,0,1.31578947368421,1.31578947368421,0,0,0,0,0,0,1.31578947368421,0,0,0,0.0394736842105263,0.0789473684210526,13.1578947368421,0,110.526315789474,8.42105263157895,0,0,1.31578947368421,0.857142857142857,1.14285714285714,0,0.789473684210526,0.789473684210526,0,58158.0007692308,77.6923076923077,0.692307692307692,100,19,0,0,0,0,0,1,2,0,0,0,6,10,8,42,8,0,0,8,8,42,0,23.0769230769231,0,0,76.9230769230769,100,0,0,0,0,0,0,0,0,0,0,0,96.0526315789474,2.63157894736842,0,1.31578947368421,0,0,96.0526315789474,0,0,1.31578947368421,2.63157894736842,100,0,0,0,0,0,100,0,0,0,0
"584","24.6.4",24,6,4,2005,1,0,1,15,0,5,4,4,537,2,398,5.17241379310345,0,0,1.72413793103448,0,0,0,1.72413793103448,0,2.58620689655172,0.862068965517241,0,0,1.72413793103448,9.56896551724138,0.0517241379310345,0.413793103448276,47.4137931034483,2.58620689655172,823.965517241379,37.7586206896552,0.862068965517241,0,0,0.666666666666667,1.33333333333333,0,0.793103448275862,0.836206896551724,0,50915.132173913,82.8260869565217,0.869565217391304,95.6521739130435,20.1818181818182,1,0,0,0,0,0,1,0,0,0,0,-3,-3,88,-3,-3,0,-3,-3,-3,8.69565217391304,39.1304347826087,39.1304347826087,0,13.0434782608696,100,0,0,0,0,0,0,0,0,0,0,0,94.8275862068966,0.862068965517241,0,3.44827586206897,0.862068965517241,0,94.8275862068966,1.72413793103448,0.862068965517241,0,2.58620689655172,99.1379310344828,0,0.862068965517241,0,0,0,99.1379310344828,0,0.862068965517241,0,0
"585","24.6.5",24,6,5,2005,1,0,1,16,0,3,15,28,992,2,400,0,0,0,0,0,0,5.55555555555556,0,0,0,0,0,0,5.55555555555556,1.66666666666667,0.0833333333333333,0.111111111111111,627.777777777778,8.33333333333333,177.333333333333,13.8888888888889,5.55555555555556,0,0,1.33333333333333,0.666666666666667,0,0.722222222222222,0.722222222222222,0,23251.0914285714,90,0.285714285714286,57.1428571428571,24,1,0,0,0,0,1,2,0,0,0,0,15,15,28,15,0,0,15,15,15,0,28.5714285714286,0,28.5714285714286,42.8571428571429,85.7142857142857,14.2857142857143,0,0,0,0,0,0,0,0,0,0,91.6666666666667,0,0,8.33333333333333,0,0,91.6666666666667,0,5.55555555555556,0,2.77777777777778,100,0,0,0,0,0,100,0,0,0,0
"586","24.6.6",24,6,6,2005,1,0,1,25,0,4,5,28,2307,3,2411,18.1818181818182,0,0,9.09090909090909,18.1818181818182,0,0,0,0,0,0,0,0,0,17.2727272727273,0.181818181818182,3.09090909090909,727.272727272727,18.1818181818182,572.727272727273,272.727272727273,0,0,0,0.666666666666667,1.33333333333333,0,0.545454545454545,0.545454545454545,0,19250,90,0,100,17,1,1,0,0,0,1,2,0,0,0,0,0,5,28,5,0,0,5,5,5,0,50,0,50,0,100,0,0,0,0,0,0,0,0,0,0,0,81.8181818181818,0,18.1818181818182,0,0,0,81.8181818181818,0,0,0,18.1818181818182,100,0,0,0,0,0,100,0,0,0,0
"587","24.6.7",24,6,7,2005,1,0,1,25,0,-2,15,15,1167,3,1561,4.8780487804878,0,0,0,0,0,1.21951219512195,1.21951219512195,1.21951219512195,0,0,1.21951219512195,0,3.65853658536585,1.89024390243902,0.0853658536585366,0.195121951219512,1114.0243902439,4.8780487804878,62.1951219512195,35.9756097560976,3.65853658536585,0,1.21951219512195,0.8,1.33333333333333,0.2,0.804878048780488,0.804878048780488,0,37481.149,87.5,0.55,95,22.4736842105263,1,0,0,0,0,1,1,1,0,0,0,5,15,15,15,0,0,0,15,15,0,50,10,0,40,100,0,0,0,0,0,0,0,0,0,0,0,91.4634146341463,1.21951219512195,0,7.31707317073171,0,0,91.4634146341463,2.4390243902439,2.4390243902439,1.21951219512195,2.4390243902439,100,0,0,0,0,0,100,0,0,0,0
"588","24.6.8",24,6,8,2005,1,0,1,20,0,7,2,2,528,2,527,5.68181818181818,2.27272727272727,0,0,0,0,1.13636363636364,1.13636363636364,0,0,0,1.13636363636364,1.13636363636364,1.13636363636364,5.17045454545455,0.0681818181818182,0.170454545454545,109.090909090909,5.68181818181818,168.181818181818,66.4772727272727,1.13636363636364,2.27272727272727,1.13636363636364,0.705882352941177,1.17647058823529,0.235294117647059,0.727272727272727,0.738636363636364,0,25195.0775,77.8947368421053,0.6,95,22.4736842105263,0,0,0,0,0,0,0,0,0,0,3,12,3,3,3,-3,88,-3,3,3,5,75,0,0,20,100,0,0,0,0,0,0,0,0,0,0,0,93.1818181818182,1.13636363636364,0,5.68181818181818,0,0,93.1818181818182,3.40909090909091,0,0,3.40909090909091,98.8636363636364,0,0,1.13636363636364,0,0,98.8636363636364,0,0,0,1.13636363636364
